"origin","comb_cbd","comb_cbn","comb_thc","comb_cbg","comb_thcv","comb_cbc"
"Oakland",0.108592,0.04444,22.224414,1.92604,0.0462,0.037752
"Oakland",0.259412,0.03344,19.473764,0.432368,0.003432,0.222476
"Oakland",0.290888,0.027544,16.781998,0.571684,0.33,0.116636
"Oakland",0.10692,0.056408,22.225046,0.4061,0,0.045496
"Oakland",0.098736,0.035376,21.69999,0.634148,0,0.029128
"Oakland",0.08712,0.044176,17.547422,0.27858,0,0.066792
"Oakland",0.101816,0.066352,20.047498,0.36958,0,0.091784
"Oakland",0.102696,0.069344,20.782886,1.879764,0,0.076912
"Oakland",0.119504,0.055528,27.068886,0.482232,0,0.11698
"Oakland",0.121088,0.05632,23.679774,1.335572,0.022528,0.08618
"Oakland",0.088616,0.039512,18.79074,1.33568,0,0.29432
"Oakland",0.111848,0.057904,20.275394,0.3577,0,0.042768
"Oakland",0.111496,0.02596,24.950116,0.623136,0.017864,0.39452
"Oakland",0.09812,0.110528,20.175278,0.500312,0,0.102396
"Oakland",0.099528,0.018304,20.974136,0.504984,0,0.372524
"Oakland",0.0924,0.053944,24.301854,0.911744,0.02112,0.144108
"Oakland",0.087736,0.05148,16.471802,0.376348,0,0.047784
"Oakland",15.79804,0.3133,0.638444,0,0,0.170016
"Oakland",0.286392,0.387368,6.783048,0.1006,3.015056,0.005544
"Oakland",0.239016,0.34592,6.958598,0,2.922744,0.008272
"Oakland",0.1796,0.4247,5.213048,0,2.034472,0.00616
"Oakland",0.0638,0.04532,17.604924,0.903116,0.49236,0.093556
"Oakland",7.139464,0.009416,4.381062,0.356196,0,0.129596
"Oakland",3.513812,0.007216,1.273322,0.21876,0,0.032648
"Oakland",6.923108,0.13492,7.477984,0.203224,0,0.506376
"Oakland",0.107350857,0.026356,15.71510486,0.189018857,0.007832,0.009636
"Oakland",0.107350857,0.026356,15.71510486,0.189018857,0.007832,0.009636
"Oakland",0.107350857,0.026356,15.71510486,0.189018857,0.007832,0.009636
"Oakland",0.035589,0.01408,12.6166555,0.287059,0.050052,0.015945
"Oakland",0.07412,0.044176,15.8944695,0.27823,0,0.069692
"Oakland",0.066102667,0,15.55757733,0.540096667,0,0.035158
"Oakland",2.851159,0.015752,15.2658045,1.181323,0.02882,0.074743
"Oakland",0.171993,0.133770667,20.145012,0.391049333,0.030470667,0.015573333
